51 0 AP890503-0279  1 0.26781082 run-1
51 0 AP891020-0203  58 0.057488523 run-1
51 0 AP890407-0285  59 0.056338754 run-1
51 0 AP891018-0174  60 0.056338754 run-1
51 0 AP891103-0204  61 0.056338754 run-1
51 0 AP890515-0080  62 0.056338754 run-1
51 0 AP890314-0278  63 0.056338754 run-1
51 0 AP891207-0121  64 0.056338754 run-1
51 0 AP890108-0068  65 0.056338754 run-1
51 0 AP891017-0271  66 0.055188984 run-1
51 0 AP891220-0125  67 0.055188984 run-1
51 0 AP890121-0095  68 0.055188984 run-1
51 0 AP890322-0207  69 0.055188984 run-1
51 0 AP890813-0052  70 0.055188984 run-1
51 0 AP890315-0137  71 0.055188984 run-1
51 0 AP890502-0093  72 0.055188984 run-1
51 0 AP890929-0032  73 0.055188984 run-1
51 0 AP890929-0165  74 0.055188984 run-1
51 0 AP890612-0290  75 0.054678045 run-1
51 0 AP890222-0111  76 0.053562164 run-1
51 0 AP890418-0079  77 0.053562164 run-1
51 0 AP890618-0075  78 0.053562164 run-1
51 0 AP890821-0246  79 0.053562164 run-1
51 0 AP890622-0084  80 0.053562164 run-1
51 0 AP890928-0294  81 0.053562164 run-1
51 0 AP891019-0216  82 0.05173967 run-1
51 0 AP890801-0228  83 0.05173967 run-1
51 0 AP890908-0034  84 0.05173967 run-1
51 0 AP890412-0226  85 0.05173967 run-1
51 0 AP891007-0018  86 0.05173967 run-1
51 0 AP891002-0199  87 0.050302457 run-1
51 0 AP890411-0010  88 0.050302457 run-1
51 0 AP890628-0005  89 0.050302457 run-1
51 0 AP890612-0011  90 0.050302457 run-1
51 0 AP890906-0284  91 0.047610812 run-1
51 0 AP890410-0255  92 0.047610812 run-1
51 0 AP890427-0306  93 0.047610812 run-1
51 0 AP890412-0286  94 0.047610812 run-1
51 0 AP890708-0097  95 0.047610812 run-1
51 0 AP890606-0198  96 0.047610812 run-1
51 0 AP891003-0103  97 0.045990817 run-1
51 0 AP890918-0116  98 0.04311639 run-1
51 0 AP891024-0145  99 0.04311639 run-1
51 0 AP891218-0055  100 0.04311639 run-1
51 0 AP891128-0218  101 0.04311639 run-1
51 0 AP891129-0025  102 0.04311639 run-1
51 0 AP890119-0027  103 0.042254064 run-1
51 0 AP890914-0069  104 0.042254064 run-1
51 0 AP891219-0192  105 0.042254064 run-1
51 0 AP890419-0189  106 0.042254064 run-1
51 0 AP891030-0178  107 0.042254064 run-1
51 0 AP890317-0131  108 0.042254064 run-1
51 0 AP891018-0037  109 0.041391738 run-1
51 0 AP890522-0084  110 0.041391738 run-1
51 0 AP890330-0021  111 0.041391738 run-1
51 0 AP891002-0261  112 0.041391738 run-1
51 0 AP890907-0159  113 0.041391738 run-1
51 0 AP891003-0060  114 0.041391738 run-1
51 0 AP890427-0221  115 0.041391738 run-1
51 0 AP890506-0006  116 0.041391738 run-1
51 0 AP891030-0194  117 0.041391738 run-1
51 0 AP890115-0012  118 0.041391738 run-1
51 0 AP890108-0094  119 0.041391738 run-1
51 0 AP891006-0104  120 0.041391738 run-1
51 0 AP890109-0144  121 0.041391738 run-1
51 0 AP890605-0084  122 0.041391738 run-1
51 0 AP890210-0202  123 0.041391738 run-1
51 0 AP890606-0044  124 0.041391738 run-1
51 0 AP891110-0023  125 0.041391738 run-1
51 0 AP890110-0016  126 0.041391738 run-1
51 0 AP890901-0154  127 0.040171623 run-1
51 0 AP891120-0065  128 0.037195947 run-1
51 0 AP890310-0265  129 0.037195947 run-1
51 0 AP890418-0241  130 0.037195947 run-1
51 0 AP890723-0009  131 0.037195947 run-1
51 0 AP890206-0170  132 0.037195947 run-1
51 0 AP890223-0299  133 0.037195947 run-1
51 0 AP890117-0018  134 0.037195947 run-1
51 0 AP890911-0278  135 0.037195947 run-1
51 0 AP890125-0094  136 0.037195947 run-1
51 0 AP890701-0050  137 0.037195947 run-1
51 0 AP890327-0161  138 0.037195947 run-1
51 0 AP890110-0165  139 0.036792655 run-1
51 0 AP890607-0108  140 0.036792655 run-1
51 0 AP891219-0108  141 0.036792655 run-1
51 0 AP890103-0010  142 0.036792655 run-1
51 0 AP890408-0097  143 0.036792655 run-1
51 0 AP890302-0175  144 0.036792655 run-1
51 0 AP891026-0232  145 0.036792655 run-1
51 0 AP890204-0175  146 0.036792655 run-1
51 0 AP890504-0182  147 0.036792655 run-1
51 0 AP890223-0164  148 0.036792655 run-1
51 0 AP890223-0281  149 0.036792655 run-1
51 0 AP890627-0148  150 0.036792655 run-1
51 0 AP890104-0279  151 0.036792655 run-1
51 0 AP890313-0233  152 0.036792655 run-1
51 0 AP890122-0100  153 0.036792655 run-1
51 0 AP890812-0133  154 0.036792655 run-1
51 0 AP890227-0132  155 0.036792655 run-1
51 0 AP891215-0125  156 0.036792655 run-1
51 0 AP891117-0018  157 0.036792655 run-1
51 0 AP890405-0282  158 0.036792655 run-1
51 0 AP890301-0211  159 0.036792655 run-1
51 0 AP890914-0250  160 0.03645203 run-1
51 0 AP890702-0030  161 0.03645203 run-1
51 0 AP890519-0076  162 0.03645203 run-1
51 0 AP891027-0233  163 0.035930328 run-1
51 0 AP890811-0028  164 0.035930328 run-1
51 0 AP890207-0230  165 0.03570811 run-1
51 0 AP891129-0178  166 0.031043803 run-1
51 0 AP890624-0007  167 0.031043803 run-1
51 0 AP890914-0041  168 0.031043803 run-1
51 0 AP890329-0113  169 0.031043803 run-1
51 0 AP890608-0149  170 0.031043803 run-1
51 0 AP890627-0100  171 0.031043803 run-1
51 0 AP890907-0273  172 0.031043803 run-1
51 0 AP890130-0021  173 0.031043803 run-1
51 0 AP890619-0259  174 0.031043803 run-1
51 0 AP890428-0054  175 0.031043803 run-1
51 0 AP890717-0014  176 0.031043803 run-1
51 0 AP890428-0191  177 0.031043803 run-1
51 0 AP891013-0069  178 0.031043803 run-1
51 0 AP890404-0239  179 0.031043803 run-1
51 0 AP890920-0049  180 0.031043803 run-1
51 0 AP890928-0135  181 0.031043803 run-1
51 0 AP891217-0040  182 0.031043803 run-1
51 0 AP890614-0249  183 0.031043803 run-1
51 0 AP890929-0181  184 0.031043803 run-1
51 0 AP890301-0257  185 0.028744262 run-1
51 0 AP891009-0123  186 0.028744262 run-1
51 0 AP890503-0254  187 0.028744262 run-1
51 0 AP891111-0084  188 0.028744262 run-1
51 0 AP890906-0116  189 0.028744262 run-1
51 0 AP891002-0120  190 0.028744262 run-1
51 0 AP890704-0174  191 0.028744262 run-1
51 0 AP890626-0112  192 0.028744262 run-1
51 0 AP890329-0255  193 0.028744262 run-1
51 0 AP890112-0007  194 0.028744262 run-1
51 0 AP890724-0005  195 0.028744262 run-1
51 0 AP890724-0067  196 0.028744262 run-1
51 0 AP890427-0275  197 0.028744262 run-1
51 0 AP890207-0133  198 0.028744262 run-1
51 0 AP890601-0260  199 0.028744262 run-1
51 0 AP890802-0237  200 0.028744262 run-1
51 0 AP890413-0014  201 0.028744262 run-1
51 0 AP890726-0019  202 0.028744262 run-1
51 0 AP890131-0178  203 0.028744262 run-1
51 0 AP890307-0140  204 0.028744262 run-1
51 0 AP891005-0128  205 0.028744262 run-1
51 0 AP890901-0071  206 0.028744262 run-1
51 0 AP890117-0087  207 0.028744262 run-1
51 0 AP890210-0048  208 0.028744262 run-1
51 0 AP891109-0201  209 0.028744262 run-1
51 0 AP891208-0263  210 0.028744262 run-1
51 0 AP890624-0023  211 0.028169377 run-1
51 0 AP890512-0039  212 0.028169377 run-1
51 0 AP891219-0166  213 0.028169377 run-1
51 0 AP891122-0035  214 0.028169377 run-1
51 0 AP891122-0148  215 0.028169377 run-1
51 0 AP890619-0026  216 0.028169377 run-1
51 0 AP890802-0097  217 0.028169377 run-1
51 0 AP890908-0222  218 0.028169377 run-1
51 0 AP891004-0135  219 0.028169377 run-1
51 0 AP890131-0123  220 0.028169377 run-1
51 0 AP890217-0022  221 0.028169377 run-1
51 0 AP890927-0152  222 0.028169377 run-1
51 0 AP890525-0163  223 0.028169377 run-1
51 0 AP890726-0269  224 0.028169377 run-1
51 0 AP890509-0155  225 0.028169377 run-1
51 0 AP890805-0010  226 0.028169377 run-1
51 0 AP890518-0116  227 0.028169377 run-1
51 0 AP890727-0192  228 0.028169377 run-1
51 0 AP891024-0197  229 0.028169377 run-1
51 0 AP890125-0184  230 0.028169377 run-1
51 0 AP890125-0185  231 0.028169377 run-1
51 0 AP890502-0207  232 0.028169377 run-1
51 0 AP890110-0048  233 0.028169377 run-1
51 0 AP890425-0029  234 0.028169377 run-1
51 0 AP890418-0312  235 0.027896961 run-1
51 0 AP891101-0286  236 0.027896961 run-1
51 0 AP890703-0134  237 0.026781082 run-1
51 0 AP890110-0304  238 0.026781082 run-1
51 0 AP890418-0290  239 0.026781082 run-1
51 0 AP890105-0233  240 0.026781082 run-1
51 0 AP890823-0099  241 0.026781082 run-1
51 0 AP890413-0262  242 0.026781082 run-1
51 0 AP890703-0072  243 0.026781082 run-1
51 0 AP890504-0256  244 0.023805406 run-1
51 0 AP890906-0311  245 0.023805406 run-1
51 0 AP890723-0061  246 0.023805406 run-1
51 0 AP890223-0276  247 0.023805406 run-1
51 0 AP890724-0045  248 0.023805406 run-1
51 0 AP890714-0212  249 0.023805406 run-1
51 0 AP890128-0159  250 0.023805406 run-1
51 0 AP890206-0237  251 0.023805406 run-1
51 0 AP890224-0066  252 0.023805406 run-1
51 0 AP890609-0270  253 0.023805406 run-1
51 0 AP890428-0002  254 0.023805406 run-1
51 0 AP890707-0114  255 0.023805406 run-1
51 0 AP890207-0277  256 0.023805406 run-1
51 0 AP890516-0077  257 0.023805406 run-1
51 0 AP890306-0244  258 0.023805406 run-1
51 0 AP890323-0197  259 0.023805406 run-1
51 0 AP890208-0268  260 0.023805406 run-1
51 0 AP890613-0247  261 0.023805406 run-1
51 0 AP890209-0229  262 0.023805406 run-1
51 0 AP890406-0263  263 0.023805406 run-1
51 0 AP890614-0287  264 0.023805406 run-1
51 0 AP891209-0045  265 0.023805406 run-1
51 0 AP890521-0093  266 0.022995409 run-1
51 0 AP891129-0157  267 0.021558195 run-1
51 0 AP890808-0010  268 0.021558195 run-1
51 0 AP891018-0047  269 0.021558195 run-1
51 0 AP891112-0040  270 0.021558195 run-1
51 0 AP891221-0118  271 0.021558195 run-1
51 0 AP891221-0129  272 0.021558195 run-1
51 0 AP890628-0021  273 0.021558195 run-1
51 0 AP890323-0016  274 0.021558195 run-1
51 0 AP890428-0224  275 0.021558195 run-1
51 0 AP891004-0231  276 0.021558195 run-1
51 0 AP891206-0009  277 0.021558195 run-1
51 0 AP890919-0084  278 0.021558195 run-1
51 0 AP890920-0009  279 0.021558195 run-1
51 0 AP891208-0020  280 0.021558195 run-1
51 0 AP890526-0152  281 0.021558195 run-1
51 0 AP890623-0029  282 0.021558195 run-1
51 0 AP890615-0177  283 0.020695869 run-1
51 0 AP891102-0199  284 0.020695869 run-1
51 0 AP890807-0163  285 0.020695869 run-1
51 0 AP890905-0132  286 0.020695869 run-1
51 0 AP891110-0213  287 0.020695869 run-1
51 0 AP890930-0029  288 0.020695869 run-1
51 0 AP891129-0234  289 0.020695869 run-1
51 0 AP890126-0243  290 0.020695869 run-1
51 0 AP891010-0009  291 0.020695869 run-1
51 0 AP890411-0011  292 0.020695869 run-1
51 0 AP891212-0198  293 0.020695869 run-1
51 0 AP890427-0195  294 0.020695869 run-1
51 0 AP890715-0053  295 0.020695869 run-1
51 0 AP890420-0016  296 0.020695869 run-1
51 0 AP890628-0169  297 0.020695869 run-1
51 0 AP890114-0004  298 0.020695869 run-1
51 0 AP891204-0277  299 0.020695869 run-1
51 0 AP890725-0269  300 0.020695869 run-1
51 0 AP890927-0025  301 0.020695869 run-1
51 0 AP891014-0013  302 0.020695869 run-1
51 0 AP890726-0130  303 0.020695869 run-1
51 0 AP890525-0093  304 0.020695869 run-1
51 0 AP890622-0003  305 0.020695869 run-1
51 0 AP890526-0012  306 0.020695869 run-1
51 0 AP890109-0007  307 0.020695869 run-1
51 0 AP891207-0179  308 0.020695869 run-1
51 0 AP890109-0098  309 0.020695869 run-1
51 0 AP890605-0085  310 0.020695869 run-1
51 0 AP890109-0187  311 0.020695869 run-1
51 0 AP890518-0275  312 0.020695869 run-1
51 0 AP890913-0036  313 0.020695869 run-1
51 0 AP890712-0032  314 0.020695869 run-1
51 0 AP890110-0033  315 0.020695869 run-1
51 0 AP890921-0158  316 0.020695869 run-1
51 0 AP890419-0227  317 0.018597974 run-1
51 0 AP890517-0089  318 0.018597974 run-1
51 0 AP890217-0158  319 0.018597974 run-1
51 0 AP891006-0222  320 0.018597974 run-1
51 0 AP890929-0096  321 0.018597974 run-1
51 0 AP890110-0178  322 0.018396327 run-1
51 0 AP890407-0231  323 0.018396327 run-1
51 0 AP890110-0197  324 0.018396327 run-1
51 0 AP890922-0024  325 0.018396327 run-1
51 0 AP891025-0252  326 0.018396327 run-1
51 0 AP891111-0010  327 0.018396327 run-1
51 0 AP891111-0009  328 0.018396327 run-1
51 0 AP890102-0116  329 0.018396327 run-1
51 0 AP890503-0307  330 0.018396327 run-1
51 0 AP890808-0172  331 0.018396327 run-1
51 0 AP891211-0178  332 0.018396327 run-1
51 0 AP890111-0166  333 0.018396327 run-1
51 0 AP890923-0004  334 0.018396327 run-1
51 0 AP890127-0163  335 0.018396327 run-1
51 0 AP891220-0110  336 0.018396327 run-1
51 0 AP890320-0144  337 0.018396327 run-1
51 0 AP891211-0314  338 0.018396327 run-1
51 0 AP890809-0195  339 0.018396327 run-1
51 0 AP891113-0165  340 0.018396327 run-1
51 0 AP890829-0186  341 0.018396327 run-1
51 0 AP890215-0002  342 0.018396327 run-1
51 0 AP891122-0216  343 0.018396327 run-1
51 0 AP891003-0186  344 0.018396327 run-1
51 0 AP891012-0047  345 0.018396327 run-1
51 0 AP890224-0128  346 0.018396327 run-1
51 0 AP890322-0212  347 0.018396327 run-1
51 0 AP890515-0141  348 0.018396327 run-1
51 0 AP890314-0027  349 0.018396327 run-1
51 0 AP890628-0040  350 0.018396327 run-1
51 0 AP890403-0048  351 0.018396327 run-1
51 0 AP890811-0144  352 0.018396327 run-1
51 0 AP890130-0234  353 0.018396327 run-1
51 0 AP891115-0136  354 0.018396327 run-1
51 0 AP891012-0312  355 0.018396327 run-1
51 0 AP890628-0214  356 0.018396327 run-1
51 0 AP891013-0068  357 0.018396327 run-1
51 0 AP890404-0155  358 0.018396327 run-1
51 0 AP890803-0159  359 0.018396327 run-1
51 0 AP890927-0158  360 0.018396327 run-1
51 0 AP891206-0199  361 0.018396327 run-1
51 0 AP890823-0173  362 0.018396327 run-1
51 0 AP891023-0137  363 0.018396327 run-1
51 0 AP890108-0009  364 0.018396327 run-1
51 0 AP890209-0158  365 0.018396327 run-1
51 0 AP890901-0221  366 0.018396327 run-1
51 0 AP890804-0075  367 0.018396327 run-1
51 0 AP890630-0178  368 0.018396327 run-1
51 0 AP891101-0033  369 0.018396327 run-1
51 0 AP891207-0233  370 0.018396327 run-1
51 0 AP890109-0100  371 0.018396327 run-1
51 0 AP890928-0186  372 0.018396327 run-1
51 0 AP890711-0050  373 0.018396327 run-1
51 0 AP890928-0202  374 0.018396327 run-1
51 0 AP890228-0134  375 0.018396327 run-1
51 0 AP890614-0129  376 0.018396327 run-1
51 0 AP890614-0132  377 0.018396327 run-1
51 0 AP890711-0112  378 0.018396327 run-1
51 0 AP890719-0241  379 0.018396327 run-1
51 0 AP890711-0135  380 0.018396327 run-1
51 0 AP890118-0078  381 0.018396327 run-1
51 0 AP890720-0027  382 0.018396327 run-1
51 0 AP891102-0020  383 0.018396327 run-1
51 0 AP890327-0138  384 0.018396327 run-1
51 0 AP890510-0266  385 0.018396327 run-1
51 0 AP890416-0036  386 0.018396327 run-1
51 0 AP891110-0064  387 0.018396327 run-1
51 0 AP890703-0007  388 0.018396327 run-1
51 0 AP890623-0158  389 0.018396327 run-1
51 0 AP890816-0246  390 0.018226014 run-1
51 0 AP890608-0032  391 0.018226014 run-1
51 0 AP891103-0231  392 0.018226014 run-1
51 0 AP890426-0268  393 0.018226014 run-1
51 0 AP891002-0334  394 0.018226014 run-1
51 0 AP890619-0204  395 0.018226014 run-1
51 0 AP890306-0264  396 0.018226014 run-1
51 0 AP890131-0301  397 0.018226014 run-1
51 0 AP890227-0288  398 0.018226014 run-1
51 0 AP890406-0027  399 0.018226014 run-1
51 0 AP890509-0269  400 0.018226014 run-1
51 0 AP890228-0177  401 0.018226014 run-1
51 0 AP890719-0300  402 0.018226014 run-1
51 0 AP891128-0199  403 0.018226014 run-1
51 0 AP890301-0076  404 0.018226014 run-1
51 0 AP891017-0091  405 0.018226014 run-1
51 0 AP890511-0035  406 0.018226014 run-1
51 0 AP891110-0196  407 0.014372131 run-1
51 0 AP890615-0232  408 0.014372131 run-1
51 0 AP890623-0279  409 0.014372131 run-1
51 0 AP891129-0240  410 0.014372131 run-1
51 0 AP890624-0045  411 0.014372131 run-1
51 0 AP890713-0014  412 0.014372131 run-1
51 0 AP890704-0088  413 0.014372131 run-1
51 0 AP890111-0138  414 0.014372131 run-1
51 0 AP890426-0083  415 0.014372131 run-1
51 0 AP890127-0165  416 0.014372131 run-1
51 0 AP890512-0222  417 0.014372131 run-1
51 0 AP890410-0049  418 0.014372131 run-1
51 0 AP890303-0040  419 0.014372131 run-1
51 0 AP891212-0080  420 0.014372131 run-1
51 0 AP890819-0020  421 0.014372131 run-1
51 0 AP890418-0315  422 0.014372131 run-1
51 0 AP890419-0026  423 0.014372131 run-1
51 0 AP890705-0196  424 0.014372131 run-1
51 0 AP890304-0074  425 0.014372131 run-1
51 0 AP890801-0149  426 0.014372131 run-1
51 0 AP890322-0114  427 0.014372131 run-1
51 0 AP890427-0259  428 0.014372131 run-1
51 0 AP890917-0002  429 0.014372131 run-1
51 0 AP891004-0025  430 0.014372131 run-1
51 0 AP890612-0008  431 0.014372131 run-1
51 0 AP891214-0023  432 0.014372131 run-1
51 0 AP890628-0187  433 0.014372131 run-1
51 0 AP890802-0203  434 0.014372131 run-1
51 0 AP890725-0183  435 0.014372131 run-1
51 0 AP891124-0188  436 0.014372131 run-1
51 0 AP890131-0097  437 0.014372131 run-1
51 0 AP890621-0107  438 0.014372131 run-1
51 0 AP891116-0209  439 0.014372131 run-1
51 0 AP890901-0172  440 0.014372131 run-1
51 0 AP891006-0017  441 0.014372131 run-1
51 0 AP890108-0096  442 0.014372131 run-1
51 0 AP890710-0252  443 0.014372131 run-1
51 0 AP890711-0155  444 0.014372131 run-1
51 0 AP890221-0003  445 0.014372131 run-1
51 0 AP890202-0195  446 0.014372131 run-1
51 0 AP891218-0128  447 0.014372131 run-1
51 0 AP890606-0169  448 0.014372131 run-1
51 0 AP890905-0017  449 0.014372131 run-1
51 0 AP890301-0230  450 0.014084688 run-1
51 0 AP890407-0263  451 0.014084688 run-1
51 0 AP890119-0006  452 0.014084688 run-1
51 0 AP890302-0032  453 0.014084688 run-1
51 0 AP890212-0094  454 0.014084688 run-1
51 0 AP890425-0230  455 0.014084688 run-1
51 0 AP891026-0032  456 0.014084688 run-1
51 0 AP891219-0116  457 0.014084688 run-1
51 0 AP890111-0015  458 0.014084688 run-1
51 0 AP890119-0193  459 0.014084688 run-1
51 0 AP890127-0117  460 0.014084688 run-1
51 0 AP890616-0219  461 0.014084688 run-1
51 0 AP890127-0162  462 0.014084688 run-1
51 0 AP891130-0213  463 0.014084688 run-1
51 0 AP891130-0232  464 0.014084688 run-1
51 0 AP891220-0189  465 0.014084688 run-1
51 0 AP891113-0151  466 0.014084688 run-1
51 0 AP890104-0147  467 0.014084688 run-1
51 0 AP890313-0008  468 0.014084688 run-1
51 0 AP891105-0096  469 0.014084688 run-1
51 0 AP890829-0178  470 0.014084688 run-1
51 0 AP890724-0059  471 0.014084688 run-1
51 0 AP890129-0060  472 0.014084688 run-1
51 0 AP891213-0036  473 0.014084688 run-1
51 0 AP890724-0142  474 0.014084688 run-1
51 0 AP891012-0009  475 0.014084688 run-1
51 0 AP891221-0160  476 0.014084688 run-1
51 0 AP891114-0149  477 0.014084688 run-1
51 0 AP890619-0134  478 0.014084688 run-1
51 0 AP890724-0159  479 0.014084688 run-1
51 0 AP891114-0183  480 0.014084688 run-1
51 0 AP890830-0072  481 0.014084688 run-1
51 0 AP890830-0145  482 0.014084688 run-1
51 0 AP891012-0138  483 0.014084688 run-1
51 0 AP890130-0133  484 0.014084688 run-1
51 0 AP891012-0158  485 0.014084688 run-1
51 0 AP891213-0201  486 0.014084688 run-1
51 0 AP890105-0168  487 0.014084688 run-1
51 0 AP891115-0032  488 0.014084688 run-1
51 0 AP891029-0046  489 0.014084688 run-1
51 0 AP890420-0110  490 0.014084688 run-1
51 0 AP890216-0029  491 0.014084688 run-1
51 0 AP890130-0207  492 0.014084688 run-1
51 0 AP890908-0191  493 0.014084688 run-1
51 0 AP891004-0109  494 0.014084688 run-1
51 0 AP890216-0120  495 0.014084688 run-1
51 0 AP890629-0046  496 0.014084688 run-1
51 0 AP891214-0236  497 0.014084688 run-1
51 0 AP890131-0281  498 0.014084688 run-1
51 0 AP890803-0210  499 0.014084688 run-1
51 0 AP891116-0172  500 0.014084688 run-1
51 0 AP890629-0254  501 0.014084688 run-1
51 0 AP890621-0156  502 0.014084688 run-1
51 0 AP891108-0139  503 0.014084688 run-1
51 0 AP890919-0158  504 0.014084688 run-1
51 0 AP890525-0161  505 0.014084688 run-1
51 0 AP890814-0108  506 0.014084688 run-1
51 0 AP890718-0185  507 0.014084688 run-1
51 0 AP890823-0168  508 0.014084688 run-1
51 0 AP891005-0250  509 0.014084688 run-1
51 0 AP890124-0161  510 0.014084688 run-1
51 0 AP891108-0282  511 0.014084688 run-1
51 0 AP891109-0031  512 0.014084688 run-1
51 0 AP890308-0145  513 0.014084688 run-1
51 0 AP890308-0151  514 0.014084688 run-1
51 0 AP890622-0111  515 0.014084688 run-1
51 0 AP890605-0001  516 0.014084688 run-1
51 0 AP890109-0074  517 0.014084688 run-1
51 0 AP890109-0084  518 0.014084688 run-1
51 0 AP890928-0156  519 0.014084688 run-1
51 0 AP890316-0176  520 0.014084688 run-1
51 0 AP890117-0157  521 0.014084688 run-1
51 0 AP890210-0075  522 0.014084688 run-1
51 0 AP890805-0028  523 0.014084688 run-1
51 0 AP890406-0151  524 0.014084688 run-1
51 0 AP890109-0191  525 0.014084688 run-1
51 0 AP890518-0201  526 0.014084688 run-1
51 0 AP890727-0268  527 0.014084688 run-1
51 0 AP890510-0161  528 0.014084688 run-1
51 0 AP890518-0243  529 0.014084688 run-1
51 0 AP890202-0156  530 0.014084688 run-1
51 0 AP890301-0039  531 0.014084688 run-1
51 0 AP891007-0099  532 0.014084688 run-1
51 0 AP890118-0248  533 0.014084688 run-1
51 0 AP890301-0217  534 0.014084688 run-1
51 0 AP890713-0026  535 0.013797246 run-1
51 0 AP891005-0185  536 0.013797246 run-1
51 0 AP890109-0198  537 0.013797246 run-1
51 0 AP890720-0240  538 0.013390541 run-1
51 0 AP890211-0169  539 0.013390541 run-1
51 0 AP890607-0086  540 0.013390541 run-1
51 0 AP890623-0269  541 0.013390541 run-1
51 0 AP891129-0271  542 0.013390541 run-1
51 0 AP891219-0213  543 0.013390541 run-1
51 0 AP891121-0110  544 0.013390541 run-1
51 0 AP890103-0117  545 0.013390541 run-1
51 0 AP891002-0137  546 0.013390541 run-1
51 0 AP890112-0126  547 0.013390541 run-1
51 0 AP891002-0339  548 0.013390541 run-1
51 0 AP890112-0243  549 0.013390541 run-1
51 0 AP890427-0258  550 0.013390541 run-1
51 0 AP890411-0191  551 0.013390541 run-1
51 0 AP890207-0240  552 0.013390541 run-1
51 0 AP890207-0251  553 0.013390541 run-1
51 0 AP890306-0253  554 0.013390541 run-1
51 0 AP891222-0290  555 0.013390541 run-1
51 0 AP890208-0146  556 0.013390541 run-1
51 0 AP891013-0165  557 0.013390541 run-1
51 0 AP890803-0196  558 0.013390541 run-1
51 0 AP891116-0258  559 0.013390541 run-1
51 0 AP891101-0042  560 0.013390541 run-1
51 0 AP890804-0141  561 0.013390541 run-1
51 0 AP890518-0101  562 0.013390541 run-1
51 0 AP890117-0252  563 0.013390541 run-1
51 0 AP890816-0029  564 0.013390541 run-1
51 0 AP890816-0147  565 0.013390541 run-1
51 0 AP890519-0140  566 0.013390541 run-1
51 0 AP890607-0036  567 0.010347934 run-1
51 0 AP890318-0006  568 0.010347934 run-1
51 0 AP890720-0235  569 0.010347934 run-1
51 0 AP890930-0011  570 0.010347934 run-1
51 0 AP890101-0053  571 0.010347934 run-1
51 0 AP891009-0106  572 0.010347934 run-1
51 0 AP890808-0030  573 0.010347934 run-1
51 0 AP890126-0186  574 0.010347934 run-1
51 0 AP890520-0011  575 0.010347934 run-1
51 0 AP890126-0241  576 0.010347934 run-1
51 0 AP890126-0251  577 0.010347934 run-1
51 0 AP891026-0034  578 0.010347934 run-1
51 0 AP890808-0128  579 0.010347934 run-1
51 0 AP890512-0035  580 0.010347934 run-1
51 0 AP890817-0157  581 0.010347934 run-1
51 0 AP890310-0209  582 0.010347934 run-1
