51 0 AP890908-0122  1 0.21424866 myalgo-run-1
51 0 AP890609-0229  85 0.080866285 myalgo-run-1
51 0 AP890629-0275  86 0.080866285 myalgo-run-1
51 0 AP890703-0059  87 0.080866285 myalgo-run-1
51 0 AP891010-0163  88 0.080866285 myalgo-run-1
51 0 AP891204-0280  89 0.080866285 myalgo-run-1
51 0 AP890310-0285  90 0.07967746 myalgo-run-1
51 0 AP890501-0272  91 0.07967746 myalgo-run-1
51 0 AP890818-0009  92 0.07967746 myalgo-run-1
51 0 AP891223-0051  93 0.07967746 myalgo-run-1
51 0 AP890104-0060  94 0.07924896 myalgo-run-1
51 0 AP890419-0229  95 0.07924896 myalgo-run-1
51 0 AP891102-0167  96 0.07924896 myalgo-run-1
51 0 AP891203-0025  97 0.078253284 myalgo-run-1
51 0 AP890119-0127  98 0.07807723 myalgo-run-1
51 0 AP890301-0276  99 0.07781002 myalgo-run-1
51 0 AP890301-0289  100 0.07781002 myalgo-run-1
51 0 AP890306-0270  101 0.07781002 myalgo-run-1
51 0 AP890417-0086  102 0.07781002 myalgo-run-1
51 0 AP890726-0254  103 0.07781002 myalgo-run-1
51 0 AP891106-0168  104 0.07781002 myalgo-run-1
51 0 AP890315-0148  105 0.07779612 myalgo-run-1
51 0 AP890824-0066  106 0.077745385 myalgo-run-1
51 0 AP890328-0202  107 0.07763163 myalgo-run-1
51 0 AP890502-0268  108 0.07763163 myalgo-run-1
51 0 AP890606-0198  109 0.07763163 myalgo-run-1
51 0 AP890628-0137  110 0.07763163 myalgo-run-1
51 0 AP890906-0264  111 0.075195834 myalgo-run-1
51 0 AP890914-0108  112 0.07468428 myalgo-run-1
51 0 AP891003-0130  113 0.074391894 myalgo-run-1
51 0 AP890516-0165  114 0.07358531 myalgo-run-1
51 0 AP890523-0235  115 0.07358531 myalgo-run-1
51 0 AP891221-0216  116 0.07358531 myalgo-run-1
51 0 AP890920-0246  117 0.07290406 myalgo-run-1
51 0 AP890410-0121  118 0.072435535 myalgo-run-1
51 0 AP891011-0163  119 0.072435535 myalgo-run-1
51 0 AP890831-0024  120 0.07196476 myalgo-run-1
51 0 AP890428-0090  121 0.07042344 myalgo-run-1
51 0 AP890707-0209  122 0.07042344 myalgo-run-1
51 0 AP890609-0261  123 0.07001125 myalgo-run-1
51 0 AP891005-0097  124 0.07001125 myalgo-run-1
51 0 AP891127-0156  125 0.07001125 myalgo-run-1
51 0 AP890301-0275  126 0.06971778 myalgo-run-1
51 0 AP890511-0200  127 0.06971778 myalgo-run-1
51 0 AP890528-0040  128 0.06934284 myalgo-run-1
51 0 AP891014-0137  129 0.06934284 myalgo-run-1
51 0 AP890503-0188  130 0.069109455 myalgo-run-1
51 0 AP890215-0168  131 0.06910701 myalgo-run-1
51 0 AP890503-0210  132 0.068906255 myalgo-run-1
51 0 AP890830-0136  133 0.06873369 myalgo-run-1
51 0 AP890119-0227  134 0.06862844 myalgo-run-1
51 0 AP890325-0094  135 0.06816731 myalgo-run-1
51 0 AP890925-0159  136 0.06816731 myalgo-run-1
51 0 AP891010-0029  137 0.06816731 myalgo-run-1
51 0 AP891123-0026  138 0.06816731 myalgo-run-1
51 0 AP891124-0027  139 0.06816731 myalgo-run-1
51 0 AP890105-0113  140 0.06752813 myalgo-run-1
51 0 AP890725-0095  141 0.06752813 myalgo-run-1
51 0 AP891011-0207  142 0.06752813 myalgo-run-1
51 0 AP891015-0073  143 0.06752813 myalgo-run-1
51 0 AP891024-0194  144 0.06752813 myalgo-run-1
51 0 AP890203-0242  145 0.067227855 myalgo-run-1
51 0 AP890726-0118  146 0.067227855 myalgo-run-1
51 0 AP890815-0256  147 0.067227855 myalgo-run-1
51 0 AP890816-0230  148 0.067227855 myalgo-run-1
51 0 AP890906-0144  149 0.067227855 myalgo-run-1
51 0 AP891023-0239  150 0.067227855 myalgo-run-1
51 0 AP890418-0047  151 0.0672108 myalgo-run-1
51 0 AP890609-0248  152 0.0672108 myalgo-run-1
51 0 AP890713-0288  153 0.0672108 myalgo-run-1
51 0 AP890714-0275  154 0.0672108 myalgo-run-1
51 0 AP891012-0303  155 0.0672108 myalgo-run-1
51 0 AP890718-0012  156 0.066776134 myalgo-run-1
51 0 AP890327-0030  157 0.06615 myalgo-run-1
51 0 AP890412-0048  158 0.06615 myalgo-run-1
51 0 AP890512-0180  159 0.06615 myalgo-run-1
51 0 AP890607-0161  160 0.06615 myalgo-run-1
51 0 AP890617-0062  161 0.06615 myalgo-run-1
51 0 AP890801-0071  162 0.06615 myalgo-run-1
51 0 AP891017-0162  163 0.06615 myalgo-run-1
51 0 AP891213-0166  164 0.06615 myalgo-run-1
51 0 AP890413-0262  165 0.06550169 myalgo-run-1
51 0 AP890524-0318  166 0.06550169 myalgo-run-1
51 0 AP890613-0132  167 0.06550169 myalgo-run-1
51 0 AP891219-0008  168 0.06550169 myalgo-run-1
51 0 AP890127-0292  169 0.064693026 myalgo-run-1
51 0 AP890304-0156  170 0.064693026 myalgo-run-1
51 0 AP890502-0307  171 0.064693026 myalgo-run-1
51 0 AP890622-0233  172 0.064693026 myalgo-run-1
51 0 AP890930-0130  173 0.064693026 myalgo-run-1
51 0 AP891126-0062  174 0.064693026 myalgo-run-1
51 0 AP891130-0089  175 0.064693026 myalgo-run-1
51 0 AP890816-0187  176 0.064674586 myalgo-run-1
51 0 AP890121-0125  177 0.06379334 myalgo-run-1
51 0 AP890226-0081  178 0.063446485 myalgo-run-1
51 0 AP890505-0114  179 0.063446485 myalgo-run-1
51 0 AP890829-0077  180 0.06339681 myalgo-run-1
51 0 AP891014-0094  181 0.06330762 myalgo-run-1
51 0 AP890226-0079  182 0.062248018 myalgo-run-1
51 0 AP890325-0061  183 0.062248018 myalgo-run-1
51 0 AP890329-0217  184 0.062248018 myalgo-run-1
51 0 AP890704-0170  185 0.062248018 myalgo-run-1
51 0 AP890705-0206  186 0.062248018 myalgo-run-1
51 0 AP891123-0156  187 0.062248018 myalgo-run-1
51 0 AP891222-0286  188 0.062248018 myalgo-run-1
51 0 AP890414-0289  189 0.062120415 myalgo-run-1
51 0 AP890503-0044  190 0.062087607 myalgo-run-1
51 0 AP890607-0014  191 0.062087607 myalgo-run-1
51 0 AP891130-0010  192 0.062087607 myalgo-run-1
51 0 AP891208-0192  193 0.062087607 myalgo-run-1
51 0 AP890312-0091  194 0.06201563 myalgo-run-1
51 0 AP890503-0093  195 0.06201563 myalgo-run-1
51 0 AP890512-0053  196 0.06201563 myalgo-run-1
51 0 AP890616-0103  197 0.06201563 myalgo-run-1
51 0 AP890718-0113  198 0.06201563 myalgo-run-1
51 0 AP890810-0077  199 0.06201563 myalgo-run-1
51 0 AP891007-0080  200 0.06201563 myalgo-run-1
51 0 AP891015-0043  201 0.06201563 myalgo-run-1
51 0 AP891114-0001  202 0.06201563 myalgo-run-1
51 0 AP890622-0257  203 0.061625537 myalgo-run-1
51 0 AP890531-0063  204 0.061003055 myalgo-run-1
51 0 AP890719-0142  205 0.061003055 myalgo-run-1
51 0 AP890531-0276  206 0.060863666 myalgo-run-1
51 0 AP890826-0096  207 0.060863666 myalgo-run-1
51 0 AP890123-0165  208 0.06064971 myalgo-run-1
51 0 AP890216-0149  209 0.06064971 myalgo-run-1
51 0 AP890319-0083  210 0.06064971 myalgo-run-1
51 0 AP890322-0053  211 0.06064971 myalgo-run-1
51 0 AP890425-0270  212 0.06064971 myalgo-run-1
51 0 AP890519-0015  213 0.06064971 myalgo-run-1
51 0 AP890723-0009  214 0.06064971 myalgo-run-1
51 0 AP890913-0264  215 0.06064971 myalgo-run-1
51 0 AP891123-0046  216 0.06064971 myalgo-run-1
51 0 AP890605-0071  217 0.060637504 myalgo-run-1
51 0 AP890705-0211  218 0.060637504 myalgo-run-1
51 0 AP890415-0079  219 0.060292974 myalgo-run-1
51 0 AP890416-0013  220 0.060292974 myalgo-run-1
51 0 AP890517-0093  221 0.060292974 myalgo-run-1
51 0 AP891130-0095  222 0.060292974 myalgo-run-1
51 0 AP891228-0125  223 0.060292974 myalgo-run-1
51 0 AP890502-0260  224 0.059758097 myalgo-run-1
51 0 AP890622-0101  225 0.059758097 myalgo-run-1
51 0 AP890112-0166  226 0.059742935 myalgo-run-1
51 0 AP890415-0038  227 0.059742935 myalgo-run-1
51 0 AP891004-0263  228 0.059742935 myalgo-run-1
51 0 AP891006-0120  229 0.059742935 myalgo-run-1
51 0 AP891207-0128  230 0.059742935 myalgo-run-1
51 0 AP891212-0157  231 0.059742935 myalgo-run-1
51 0 AP890420-0168  232 0.059646394 myalgo-run-1
51 0 AP890703-0056  233 0.059436716 myalgo-run-1
51 0 AP890816-0246  234 0.059436716 myalgo-run-1
51 0 AP890901-0164  235 0.059087113 myalgo-run-1
51 0 AP890116-0208  236 0.058746748 myalgo-run-1
51 0 AP890527-0012  237 0.058746748 myalgo-run-1
51 0 AP890726-0159  238 0.058746748 myalgo-run-1
51 0 AP890113-0175  239 0.058223724 myalgo-run-1
51 0 AP890118-0101  240 0.058223724 myalgo-run-1
51 0 AP890217-0103  241 0.058223724 myalgo-run-1
51 0 AP890222-0111  242 0.058223724 myalgo-run-1
51 0 AP890328-0092  243 0.058223724 myalgo-run-1
51 0 AP890411-0155  244 0.058223724 myalgo-run-1
51 0 AP890418-0079  245 0.058223724 myalgo-run-1
51 0 AP890511-0281  246 0.058223724 myalgo-run-1
51 0 AP890525-0008  247 0.058223724 myalgo-run-1
51 0 AP890602-0097  248 0.058223724 myalgo-run-1
51 0 AP890716-0080  249 0.058223724 myalgo-run-1
51 0 AP890718-0022  250 0.058223724 myalgo-run-1
51 0 AP890728-0241  251 0.058223724 myalgo-run-1
51 0 AP890731-0272  252 0.058223724 myalgo-run-1
51 0 AP890821-0246  253 0.058223724 myalgo-run-1
51 0 AP890822-0039  254 0.058223724 myalgo-run-1
51 0 AP890823-0145  255 0.058223724 myalgo-run-1
51 0 AP891010-0258  256 0.058223724 myalgo-run-1
51 0 AP891018-0127  257 0.058223724 myalgo-run-1
51 0 AP891019-0171  258 0.058223724 myalgo-run-1
51 0 AP891028-0167  259 0.058223724 myalgo-run-1
51 0 AP891126-0082  260 0.058223724 myalgo-run-1
51 0 AP891215-0287  261 0.058223724 myalgo-run-1
51 0 AP891227-0062  262 0.058223724 myalgo-run-1
51 0 AP890731-0020  263 0.05815928 myalgo-run-1
51 0 AP890830-0154  264 0.05814497 myalgo-run-1
51 0 AP891218-0187  265 0.058139652 myalgo-run-1
51 0 AP890112-0090  266 0.057571813 myalgo-run-1
51 0 AP890515-0108  267 0.057571813 myalgo-run-1
51 0 AP890523-0040  268 0.057488523 myalgo-run-1
51 0 AP891020-0203  269 0.057488523 myalgo-run-1
51 0 AP890330-0034  270 0.057175856 myalgo-run-1
51 0 AP890516-0043  271 0.057175856 myalgo-run-1
51 0 AP891221-0087  272 0.057175856 myalgo-run-1
51 0 AP890725-0110  273 0.05639688 myalgo-run-1
51 0 AP890523-0149  274 0.05635272 myalgo-run-1
51 0 AP890923-0132  275 0.05635272 myalgo-run-1
51 0 AP891122-0193  276 0.05635272 myalgo-run-1
51 0 AP890108-0068  277 0.056338754 myalgo-run-1
51 0 AP890314-0278  278 0.056338754 myalgo-run-1
51 0 AP890407-0285  279 0.056338754 myalgo-run-1
51 0 AP890515-0080  280 0.056338754 myalgo-run-1
51 0 AP891018-0174  281 0.056338754 myalgo-run-1
51 0 AP891103-0204  282 0.056338754 myalgo-run-1
51 0 AP891207-0121  283 0.056338754 myalgo-run-1
51 0 AP890526-0221  284 0.055814065 myalgo-run-1
51 0 AP890607-0104  285 0.055770982 myalgo-run-1
51 0 AP890926-0091  286 0.055770982 myalgo-run-1
51 0 AP890323-0242  287 0.05559557 myalgo-run-1
51 0 AP890507-0023  288 0.055218145 myalgo-run-1
51 0 AP890907-0090  289 0.055218145 myalgo-run-1
51 0 AP890121-0095  290 0.055188984 myalgo-run-1
51 0 AP890315-0137  291 0.055188984 myalgo-run-1
51 0 AP890322-0207  292 0.055188984 myalgo-run-1
51 0 AP890502-0093  293 0.055188984 myalgo-run-1
51 0 AP890813-0052  294 0.055188984 myalgo-run-1
51 0 AP890929-0032  295 0.055188984 myalgo-run-1
51 0 AP890929-0165  296 0.055188984 myalgo-run-1
51 0 AP891017-0271  297 0.055188984 myalgo-run-1
51 0 AP891220-0125  298 0.055188984 myalgo-run-1
51 0 AP890302-0284  299 0.055125006 myalgo-run-1
51 0 AP890304-0065  300 0.055125006 myalgo-run-1
51 0 AP890306-0310  301 0.055125006 myalgo-run-1
51 0 AP890510-0071  302 0.055125006 myalgo-run-1
51 0 AP890809-0144  303 0.055125006 myalgo-run-1
51 0 AP891122-0076  304 0.055125006 myalgo-run-1
51 0 AP891223-0131  305 0.055125006 myalgo-run-1
51 0 AP890817-0101  306 0.05503195 myalgo-run-1
51 0 AP890119-0169  307 0.054866605 myalgo-run-1
51 0 AP890301-0182  308 0.054866605 myalgo-run-1
51 0 AP891120-0194  309 0.054866605 myalgo-run-1
51 0 AP890731-0229  310 0.053931314 myalgo-run-1
51 0 AP890622-0084  311 0.053562164 myalgo-run-1
51 0 AP890410-0033  312 0.053377673 myalgo-run-1
51 0 AP890618-0052  313 0.053377673 myalgo-run-1
51 0 AP890226-0056  314 0.052910056 myalgo-run-1
51 0 AP890227-0103  315 0.052910056 myalgo-run-1
51 0 AP890228-0151  316 0.052910056 myalgo-run-1
51 0 AP890511-0104  317 0.052910056 myalgo-run-1
51 0 AP890812-0033  318 0.052910056 myalgo-run-1
51 0 AP890904-0116  319 0.052713286 myalgo-run-1
51 0 AP890127-0175  320 0.052168857 myalgo-run-1
51 0 AP890712-0107  321 0.052168857 myalgo-run-1
51 0 AP891029-0074  322 0.052168857 myalgo-run-1
51 0 AP890505-0289  323 0.05186408 myalgo-run-1
51 0 AP890930-0003  324 0.05186408 myalgo-run-1
51 0 AP890106-0150  325 0.05175442 myalgo-run-1
51 0 AP890120-0220  326 0.05175442 myalgo-run-1
51 0 AP890203-0010  327 0.05175442 myalgo-run-1
51 0 AP890208-0268  328 0.05175442 myalgo-run-1
51 0 AP890216-0153  329 0.05175442 myalgo-run-1
51 0 AP890316-0077  330 0.05175442 myalgo-run-1
51 0 AP890319-0089  331 0.05175442 myalgo-run-1
51 0 AP890410-0150  332 0.05175442 myalgo-run-1
51 0 AP890427-0306  333 0.05175442 myalgo-run-1
51 0 AP890504-0026  334 0.05175442 myalgo-run-1
51 0 AP890508-0132  335 0.05175442 myalgo-run-1
51 0 AP890523-0080  336 0.05175442 myalgo-run-1
51 0 AP890601-0153  337 0.05175442 myalgo-run-1
51 0 AP890613-0175  338 0.05175442 myalgo-run-1
51 0 AP890614-0287  339 0.05175442 myalgo-run-1
51 0 AP890617-0091  340 0.05175442 myalgo-run-1
51 0 AP890620-0154  341 0.05175442 myalgo-run-1
51 0 AP890620-0224  342 0.05175442 myalgo-run-1
51 0 AP890622-0211  343 0.05175442 myalgo-run-1
51 0 AP890728-0143  344 0.05175442 myalgo-run-1
51 0 AP890801-0225  345 0.05175442 myalgo-run-1
51 0 AP890827-0023  346 0.05175442 myalgo-run-1
51 0 AP890906-0013  347 0.05175442 myalgo-run-1
51 0 AP890917-0014  348 0.05175442 myalgo-run-1
51 0 AP891002-0172  349 0.05175442 myalgo-run-1
51 0 AP891008-0045  350 0.05175442 myalgo-run-1
51 0 AP891010-0014  351 0.05175442 myalgo-run-1
51 0 AP891027-0300  352 0.05175442 myalgo-run-1
51 0 AP891107-0069  353 0.05175442 myalgo-run-1
51 0 AP891107-0316  354 0.05175442 myalgo-run-1
51 0 AP891110-0131  355 0.05175442 myalgo-run-1
51 0 AP890412-0226  356 0.05173967 myalgo-run-1
51 0 AP890801-0228  357 0.05173967 myalgo-run-1
51 0 AP890908-0034  358 0.05173967 myalgo-run-1
51 0 AP891007-0018  359 0.05173967 myalgo-run-1
51 0 AP891019-0216  360 0.05173967 myalgo-run-1
51 0 AP890107-0142  361 0.051679693 myalgo-run-1
51 0 AP890126-0164  362 0.051679693 myalgo-run-1
51 0 AP890410-0031  363 0.051679693 myalgo-run-1
51 0 AP890508-0289  364 0.051679693 myalgo-run-1
51 0 AP891003-0150  365 0.051679693 myalgo-run-1
51 0 AP891007-0124  366 0.051679693 myalgo-run-1
51 0 AP891020-0115  367 0.051679693 myalgo-run-1
51 0 AP891114-0277  368 0.051679693 myalgo-run-1
51 0 AP891221-0153  369 0.051679693 myalgo-run-1
51 0 AP891223-0085  370 0.051679693 myalgo-run-1
51 0 AP891228-0141  371 0.051679693 myalgo-run-1
51 0 AP890123-0114  372 0.051125478 myalgo-run-1
51 0 AP890225-0059  373 0.051125478 myalgo-run-1
51 0 AP890303-0088  374 0.051125478 myalgo-run-1
51 0 AP890407-0159  375 0.051125478 myalgo-run-1
51 0 AP890426-0212  376 0.051125478 myalgo-run-1
51 0 AP890710-0065  377 0.051125478 myalgo-run-1
51 0 AP890829-0135  378 0.051125478 myalgo-run-1
51 0 AP891010-0253  379 0.051125478 myalgo-run-1
51 0 AP890217-0180  380 0.05094576 myalgo-run-1
51 0 AP891113-0091  381 0.05094576 myalgo-run-1
51 0 AP891114-0011  382 0.05094576 myalgo-run-1
51 0 AP890731-0111  383 0.0508268 myalgo-run-1
51 0 AP891011-0276  384 0.0508268 myalgo-run-1
51 0 AP890104-0041  385 0.050646096 myalgo-run-1
51 0 AP890116-0054  386 0.050646096 myalgo-run-1
51 0 AP890120-0109  387 0.050646096 myalgo-run-1
51 0 AP890213-0254  388 0.050646096 myalgo-run-1
51 0 AP890404-0084  389 0.050646096 myalgo-run-1
51 0 AP890505-0191  390 0.050646096 myalgo-run-1
51 0 AP890609-0102  391 0.050646096 myalgo-run-1
51 0 AP890621-0285  392 0.050646096 myalgo-run-1
51 0 AP890623-0109  393 0.050646096 myalgo-run-1
51 0 AP890703-0194  394 0.050646096 myalgo-run-1
51 0 AP890710-0149  395 0.050646096 myalgo-run-1
51 0 AP890719-0051  396 0.050646096 myalgo-run-1
51 0 AP890906-0165  397 0.050646096 myalgo-run-1
51 0 AP890911-0176  398 0.050646096 myalgo-run-1
51 0 AP890920-0121  399 0.050646096 myalgo-run-1
51 0 AP890930-0109  400 0.050646096 myalgo-run-1
51 0 AP891016-0132  401 0.050646096 myalgo-run-1
51 0 AP891121-0091  402 0.050646096 myalgo-run-1
51 0 AP891124-0114  403 0.050646096 myalgo-run-1
51 0 AP890420-0055  404 0.050541427 myalgo-run-1
51 0 AP890730-0043  405 0.050375335 myalgo-run-1
51 0 AP890912-0146  406 0.050375335 myalgo-run-1
51 0 AP890913-0044  407 0.050375335 myalgo-run-1
51 0 AP890411-0010  408 0.050302457 myalgo-run-1
51 0 AP890612-0011  409 0.050302457 myalgo-run-1
51 0 AP890628-0005  410 0.050302457 myalgo-run-1
51 0 AP891002-0199  411 0.050302457 myalgo-run-1
51 0 AP890211-0085  412 0.050082102 myalgo-run-1
51 0 AP890310-0326  413 0.050082102 myalgo-run-1
51 0 AP890318-0107  414 0.050082102 myalgo-run-1
51 0 AP890322-0317  415 0.050082102 myalgo-run-1
51 0 AP890323-0073  416 0.050082102 myalgo-run-1
51 0 AP890407-0299  417 0.050082102 myalgo-run-1
51 0 AP890424-0103  418 0.050082102 myalgo-run-1
51 0 AP890425-0106  419 0.050082102 myalgo-run-1
51 0 AP890517-0144  420 0.050082102 myalgo-run-1
51 0 AP890707-0020  421 0.050082102 myalgo-run-1
51 0 AP890810-0066  422 0.050082102 myalgo-run-1
51 0 AP891010-0177  423 0.050082102 myalgo-run-1
51 0 AP891031-0070  424 0.050082102 myalgo-run-1
51 0 AP891116-0156  425 0.050082102 myalgo-run-1
51 0 AP891128-0056  426 0.050082102 myalgo-run-1
51 0 AP891208-0091  427 0.050082102 myalgo-run-1
51 0 AP891230-0048  428 0.050082102 myalgo-run-1
51 0 AP890116-0067  429 0.049969424 myalgo-run-1
51 0 AP890701-0037  430 0.049969424 myalgo-run-1
51 0 AP890727-0155  431 0.049969424 myalgo-run-1
51 0 AP891012-0097  432 0.049969424 myalgo-run-1
51 0 AP890428-0220  433 0.049798414 myalgo-run-1
51 0 AP890620-0127  434 0.049798414 myalgo-run-1
51 0 AP890823-0213  435 0.049798414 myalgo-run-1
51 0 AP890910-0089  436 0.049798414 myalgo-run-1
51 0 AP890124-0150  437 0.049789514 myalgo-run-1
51 0 AP890307-0176  438 0.049789514 myalgo-run-1
51 0 AP891004-0018  439 0.049789514 myalgo-run-1
51 0 AP891025-0215  440 0.049789514 myalgo-run-1
51 0 AP891210-0009  441 0.049789514 myalgo-run-1
51 0 AP890106-0042  442 0.049612503 myalgo-run-1
51 0 AP890107-0132  443 0.049612503 myalgo-run-1
51 0 AP890314-0158  444 0.049612503 myalgo-run-1
51 0 AP890318-0093  445 0.049612503 myalgo-run-1
51 0 AP890404-0160  446 0.049612503 myalgo-run-1
51 0 AP890412-0076  447 0.049612503 myalgo-run-1
51 0 AP890502-0151  448 0.049612503 myalgo-run-1
51 0 AP890510-0015  449 0.049612503 myalgo-run-1
51 0 AP890512-0003  450 0.049612503 myalgo-run-1
51 0 AP890518-0294  451 0.049612503 myalgo-run-1
51 0 AP890614-0231  452 0.049612503 myalgo-run-1
51 0 AP890810-0142  453 0.049612503 myalgo-run-1
51 0 AP890831-0054  454 0.049612503 myalgo-run-1
51 0 AP890909-0140  455 0.049612503 myalgo-run-1
51 0 AP891020-0116  456 0.049612503 myalgo-run-1
51 0 AP891029-0020  457 0.049612503 myalgo-run-1
51 0 AP891108-0055  458 0.049612503 myalgo-run-1
51 0 AP891114-0191  459 0.049612503 myalgo-run-1
51 0 AP891219-0058  460 0.049612503 myalgo-run-1
51 0 AP891224-0049  461 0.049612503 myalgo-run-1
51 0 AP891227-0064  462 0.049612503 myalgo-run-1
51 0 AP891230-0116  463 0.049612503 myalgo-run-1
51 0 AP890208-0282  464 0.049530596 myalgo-run-1
51 0 AP890707-0178  465 0.049530596 myalgo-run-1
51 0 AP890809-0172  466 0.049530596 myalgo-run-1
51 0 AP890810-0011  467 0.049530596 myalgo-run-1
51 0 AP890823-0254  468 0.049530596 myalgo-run-1
51 0 AP891008-0024  469 0.049530596 myalgo-run-1
51 0 AP891115-0130  470 0.049530596 myalgo-run-1
51 0 AP891116-0076  471 0.049530596 myalgo-run-1
51 0 AP891121-0151  472 0.049530596 myalgo-run-1
51 0 AP891220-0229  473 0.049530596 myalgo-run-1
51 0 AP890608-0255  474 0.04884178 myalgo-run-1
51 0 AP890903-0001  475 0.047845006 myalgo-run-1
51 0 AP890921-0257  476 0.047845006 myalgo-run-1
51 0 AP891106-0266  477 0.047845006 myalgo-run-1
51 0 AP890117-0230  478 0.04773173 myalgo-run-1
51 0 AP891014-0092  479 0.04773173 myalgo-run-1
51 0 AP891116-0242  480 0.047584865 myalgo-run-1
51 0 AP891005-0133  481 0.0469974 myalgo-run-1
51 0 AP891107-0093  482 0.0469974 myalgo-run-1
